"","BB0","BB1","BB2","BB3","BB4","BB5","BB6","BB7","BI0","BI1","BI2","BI3","BI4"
"1",335,294,0,NA,NA,NA,NA,NA,485,362,127,85,NA
"2",466,410,87,NA,0,NA,NA,NA,711,491,341,198,NA
"3",959,915,486,NA,NA,NA,NA,NA,1263,1075,731,597,0
"4",445,413,142,58,96,0,NA,NA,675,539,223,145,NA
"5",478,439,45,NA,NA,NA,NA,NA,686,512,172,0,NA
"6",275,257,NA,NA,NA,NA,NA,NA,330,291,28,0,NA
"7",406,360,104,0,31,NA,NA,NA,758,529,166,81,NA
"8",347,309,0,NA,NA,NA,NA,NA,536,397,140,52,NA
"9",433,321,136,NA,2,NA,NA,NA,911,454,179,0,NA
"10",635,600,429,NA,371,NA,0,NA,757,669,498,422,36
